GP Practice Code,GP Practice Name,UEC Site Code,UEC Site Name,duration
A89012,GALLERIES MEDICAL PRACTICE,RNNBD,KESWICK HOSPITAL,6558.79
A84042,SCOTS GAP MEDICAL GROUP,RXPRD,SEAHAM PRIMARY CARE CENTRE,3154.8
A84042,SCOTS GAP MEDICAL GROUP,RNNBE,PENRITH HOSPITAL,5065.5
A84042,SCOTS GAP MEDICAL GROUP,RR7EN,QUEEN ELIZABETH HOSPITAL,2413.42
A84042,SCOTS GAP MEDICAL GROUP,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,2084.01
A84042,SCOTS GAP MEDICAL GROUP,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,3875.75
A84042,SCOTS GAP MEDICAL GROUP,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,2505.81
A84042,SCOTS GAP MEDICAL GROUP,R0B0X,SUNDERLAND EYE INFIRMARY,3055.13
A84042,SCOTS GAP MEDICAL GROUP,RNNBD,KESWICK HOSPITAL,6055.06
A84619,ELSDON AVENUE SURGERY,RXPRD,SEAHAM PRIMARY CARE CENTRE,1913.39
A84619,ELSDON AVENUE SURGERY,RNNBE,PENRITH HOSPITAL,5440.62
A84619,ELSDON AVENUE SURGERY,RR7EN,QUEEN ELIZABETH HOSPITAL,1581.07
A84619,ELSDON AVENUE SURGERY,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1177.16
A84619,ELSDON AVENUE SURGERY,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,2634.35
A84619,ELSDON AVENUE SURGERY,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1264.4
A84619,ELSDON AVENUE SURGERY,R0B0X,SUNDERLAND EYE INFIRMARY,1813.72
A84619,ELSDON AVENUE SURGERY,RNNBD,KESWICK HOSPITAL,6498.4
A88013,CENTRAL SURGERY,RXPRD,SEAHAM PRIMARY CARE CENTRE,1320.87
A88013,CENTRAL SURGERY,RNNBE,PENRITH HOSPITAL,6139.09
A88013,CENTRAL SURGERY,RR7EN,QUEEN ELIZABETH HOSPITAL,988.13
A88013,CENTRAL SURGERY,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1434.55
A88013,CENTRAL SURGERY,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,2041.82
A88013,CENTRAL SURGERY,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,177.17
A88013,CENTRAL SURGERY,R0B0X,SUNDERLAND EYE INFIRMARY,1201.91
A88013,CENTRAL SURGERY,RNNBD,KESWICK HOSPITAL,7196.87
A86033,BRUNTON PARK,RXPRD,SEAHAM PRIMARY CARE CENTRE,2263.85
A86033,BRUNTON PARK,RNNBE,PENRITH HOSPITAL,5031.72
A86033,BRUNTON PARK,RR7EN,QUEEN ELIZABETH HOSPITAL,1327.98
A86033,BRUNTON PARK,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,998.58
A86033,BRUNTON PARK,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,2984.8
A86033,BRUNTON PARK,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1614.85
A86033,BRUNTON PARK,R0B0X,SUNDERLAND EYE INFIRMARY,2164.18
A86033,BRUNTON PARK,RNNBD,KESWICK HOSPITAL,6089.5
A87612,WELLSPRING MEDICAL PRACT.,RXPRD,SEAHAM PRIMARY CARE CENTRE,1749.94
A87615,MALLARD MEDICAL PRACTICE,RXPRD,SEAHAM PRIMARY CARE CENTRE,1749.94
A87612,WELLSPRING MEDICAL PRACT.,RNNBE,PENRITH HOSPITAL,5297.99
A87615,MALLARD MEDICAL PRACTICE,RNNBE,PENRITH HOSPITAL,5297.99
A87612,WELLSPRING MEDICAL PRACT.,RR7EN,QUEEN ELIZABETH HOSPITAL,1417.61
A87615,MALLARD MEDICAL PRACTICE,RR7EN,QUEEN ELIZABETH HOSPITAL,1417.61
A87612,WELLSPRING MEDICAL PRACT.,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,967.64
A87615,MALLARD MEDICAL PRACTICE,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,967.64
A87612,WELLSPRING MEDICAL PRACT.,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,2470.89
A87615,MALLARD MEDICAL PRACTICE,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,2470.89
A87612,WELLSPRING MEDICAL PRACT.,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1100.94
A87615,MALLARD MEDICAL PRACTICE,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1100.94
A87612,WELLSPRING MEDICAL PRACT.,R0B0X,SUNDERLAND EYE INFIRMARY,1650.27
A87615,MALLARD MEDICAL PRACTICE,R0B0X,SUNDERLAND EYE INFIRMARY,1650.27
A87612,WELLSPRING MEDICAL PRACT.,RNNBD,KESWICK HOSPITAL,6355.77
A87615,MALLARD MEDICAL PRACTICE,RNNBD,KESWICK HOSPITAL,6355.77
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,RXPRD,SEAHAM PRIMARY CARE CENTRE,1709.32
A87023,BRIDGE MEDICAL,RXPRD,SEAHAM PRIMARY CARE CENTRE,1709.32
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,RNNBE,PENRITH HOSPITAL,5543.18
A87023,BRIDGE MEDICAL,RNNBE,PENRITH HOSPITAL,5543.18
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,RR7EN,QUEEN ELIZABETH HOSPITAL,1377.0
A87023,BRIDGE MEDICAL,RR7EN,QUEEN ELIZABETH HOSPITAL,1377.0
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,973.09
A87023,BRIDGE MEDICAL,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,973.09
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,2430.28
A87023,BRIDGE MEDICAL,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,2430.28
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1060.33
A87023,BRIDGE MEDICAL,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1060.33
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,R0B0X,SUNDERLAND EYE INFIRMARY,1609.65
A87023,BRIDGE MEDICAL,R0B0X,SUNDERLAND EYE INFIRMARY,1609.65
A87022,NORTHUMBERLAND PARK MEDICAL GROUP,RNNBD,KESWICK HOSPITAL,6600.97
A87023,BRIDGE MEDICAL,RNNBD,KESWICK HOSPITAL,6600.97
A84007,PONTELAND MEDICAL GROUP,RXPRD,SEAHAM PRIMARY CARE CENTRE,2475.28
A84011,WHITE MEDICAL GROUP,RXPRD,SEAHAM PRIMARY CARE CENTRE,2475.28
A84007,PONTELAND MEDICAL GROUP,RNNBE,PENRITH HOSPITAL,4832.48
A84011,WHITE MEDICAL GROUP,RNNBE,PENRITH HOSPITAL,4832.48
A84007,PONTELAND MEDICAL GROUP,RR7EN,QUEEN ELIZABETH HOSPITAL,1548.19
A84011,WHITE MEDICAL GROUP,RR7EN,QUEEN ELIZABETH HOSPITAL,1548.19
A84007,PONTELAND MEDICAL GROUP,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1218.78
A84011,WHITE MEDICAL GROUP,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1218.78
A84007,PONTELAND MEDICAL GROUP,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,3196.23
A84011,WHITE MEDICAL GROUP,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,3196.23
A84007,PONTELAND MEDICAL GROUP,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1826.28
A84011,WHITE MEDICAL GROUP,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1826.28
A84007,PONTELAND MEDICAL GROUP,R0B0X,SUNDERLAND EYE INFIRMARY,2375.61
A84011,WHITE MEDICAL GROUP,R0B0X,SUNDERLAND EYE INFIRMARY,2375.61
A84007,PONTELAND MEDICAL GROUP,RNNBD,KESWICK HOSPITAL,5890.27
A84011,WHITE MEDICAL GROUP,RNNBD,KESWICK HOSPITAL,5890.27
A84008,BELFORD MEDICAL PRACTICE,RXPRD,SEAHAM PRIMARY CARE CENTRE,4463.0
A84008,BELFORD MEDICAL PRACTICE,RNNBE,PENRITH HOSPITAL,7500.88
A84008,BELFORD MEDICAL PRACTICE,RR7EN,QUEEN ELIZABETH HOSPITAL,3901.99
A84008,BELFORD MEDICAL PRACTICE,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,3572.59
A84008,BELFORD MEDICAL PRACTICE,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,5183.95
A84008,BELFORD MEDICAL PRACTICE,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,3814.0
A84008,BELFORD MEDICAL PRACTICE,R0B0X,SUNDERLAND EYE INFIRMARY,4363.33
A84008,BELFORD MEDICAL PRACTICE,RNNBD,KESWICK HOSPITAL,8558.66
A84013,THE GABLES MEDICAL GROUP,RXPRD,SEAHAM PRIMARY CARE CENTRE,2068.58
A84013,THE GABLES MEDICAL GROUP,RNNBE,PENRITH HOSPITAL,5463.38
A84013,THE GABLES MEDICAL GROUP,RR7EN,QUEEN ELIZABETH HOSPITAL,1736.26
A84013,THE GABLES MEDICAL GROUP,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1332.35
A84013,THE GABLES MEDICAL GROUP,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,2789.54
A84013,THE GABLES MEDICAL GROUP,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1419.59
A84013,THE GABLES MEDICAL GROUP,R0B0X,SUNDERLAND EYE INFIRMARY,1968.92
A84013,THE GABLES MEDICAL GROUP,RNNBD,KESWICK HOSPITAL,6521.16
A84018,CORBRIDGE HEALTH CENTRE,RXPRD,SEAHAM PRIMARY CARE CENTRE,2859.3
A84018,CORBRIDGE HEALTH CENTRE,RNNBE,PENRITH HOSPITAL,3762.46
A84018,CORBRIDGE HEALTH CENTRE,RR7EN,QUEEN ELIZABETH HOSPITAL,1931.34
A84018,CORBRIDGE HEALTH CENTRE,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1681.99
A84018,CORBRIDGE HEALTH CENTRE,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,3580.26
A84018,CORBRIDGE HEALTH CENTRE,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,2559.1
A84018,CORBRIDGE HEALTH CENTRE,R0B0X,SUNDERLAND EYE INFIRMARY,2759.63
A84018,CORBRIDGE HEALTH CENTRE,RNNBD,KESWICK HOSPITAL,4820.24
A86031,FENHAM HALL SURGERY,RXPRD,SEAHAM PRIMARY CARE CENTRE,1967.2
A86031,FENHAM HALL SURGERY,RNNBE,PENRITH HOSPITAL,4711.54
A86031,FENHAM HALL SURGERY,RR7EN,QUEEN ELIZABETH HOSPITAL,892.22
A86031,FENHAM HALL SURGERY,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,562.82
A86031,FENHAM HALL SURGERY,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,2688.15
A86031,FENHAM HALL SURGERY,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1487.17
A86031,FENHAM HALL SURGERY,R0B0X,SUNDERLAND EYE INFIRMARY,1867.53
A86031,FENHAM HALL SURGERY,RNNBD,KESWICK HOSPITAL,5769.33
A89015,"FULWELL MEDICAL CENTRE,",RXPRD,SEAHAM PRIMARY CARE CENTRE,1268.26
A89015,"FULWELL MEDICAL CENTRE,",RNNBE,PENRITH HOSPITAL,6206.14
A89015,"FULWELL MEDICAL CENTRE,",RR7EN,QUEEN ELIZABETH HOSPITAL,1190.61
A89015,"FULWELL MEDICAL CENTRE,",RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1693.0
A89015,"FULWELL MEDICAL CENTRE,",RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,2025.63
A89015,"FULWELL MEDICAL CENTRE,",R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,693.95
A89015,"FULWELL MEDICAL CENTRE,",R0B0X,SUNDERLAND EYE INFIRMARY,677.96
A89015,"FULWELL MEDICAL CENTRE,",RNNBD,KESWICK HOSPITAL,7263.92
A89623,CHESTER SURGERY,RXPRD,SEAHAM PRIMARY CARE CENTRE,957.82
A89623,CHESTER SURGERY,RNNBE,PENRITH HOSPITAL,6045.19
A89623,CHESTER SURGERY,RR7EN,QUEEN ELIZABETH HOSPITAL,1087.1
A89623,CHESTER SURGERY,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1598.27
A89623,CHESTER SURGERY,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,1702.25
A89623,CHESTER SURGERY,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,977.66
A89623,CHESTER SURGERY,R0B0X,SUNDERLAND EYE INFIRMARY,286.76
A89623,CHESTER SURGERY,RNNBD,KESWICK HOSPITAL,7102.97
A89616,RICKLETON MEDICAL CENTRE,RXPRD,SEAHAM PRIMARY CARE CENTRE,1149.37
A89616,RICKLETON MEDICAL CENTRE,RNNBE,PENRITH HOSPITAL,5558.08
A89616,RICKLETON MEDICAL CENTRE,RR7EN,QUEEN ELIZABETH HOSPITAL,734.13
A89616,RICKLETON MEDICAL CENTRE,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1411.98
A89616,RICKLETON MEDICAL CENTRE,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,1870.33
A89616,RICKLETON MEDICAL CENTRE,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,981.44
A89616,RICKLETON MEDICAL CENTRE,R0B0X,SUNDERLAND EYE INFIRMARY,1049.35
A89616,RICKLETON MEDICAL CENTRE,RNNBD,KESWICK HOSPITAL,6615.86
A89017,MILLFIELD MEDICAL GROUP,RXPRD,SEAHAM PRIMARY CARE CENTRE,978.14
A89017,MILLFIELD MEDICAL GROUP,RNNBE,PENRITH HOSPITAL,6083.94
A89017,MILLFIELD MEDICAL GROUP,RR7EN,QUEEN ELIZABETH HOSPITAL,1125.86
A89017,MILLFIELD MEDICAL GROUP,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1638.5
A89017,MILLFIELD MEDICAL GROUP,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,1794.93
A89017,MILLFIELD MEDICAL GROUP,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1017.89
A89017,MILLFIELD MEDICAL GROUP,R0B0X,SUNDERLAND EYE INFIRMARY,331.77
A89017,MILLFIELD MEDICAL GROUP,RNNBD,KESWICK HOSPITAL,7141.73
A89021,KEPIER MEDICAL PRACTICE,RXPRD,SEAHAM PRIMARY CARE CENTRE,892.6
A89021,KEPIER MEDICAL PRACTICE,RNNBE,PENRITH HOSPITAL,5591.4
A89021,KEPIER MEDICAL PRACTICE,RR7EN,QUEEN ELIZABETH HOSPITAL,1052.62
A89021,KEPIER MEDICAL PRACTICE,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1702.16
A89021,KEPIER MEDICAL PRACTICE,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,1613.55
A89021,KEPIER MEDICAL PRACTICE,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1081.55
A89021,KEPIER MEDICAL PRACTICE,R0B0X,SUNDERLAND EYE INFIRMARY,892.53
A89021,KEPIER MEDICAL PRACTICE,RNNBD,KESWICK HOSPITAL,6649.18
A89027,SPRINGWELL MEDICAL GROUP,RXPRD,SEAHAM PRIMARY CARE CENTRE,917.57
A89024,THE BROADWAY MEDICAL PRACTICE,RXPRD,SEAHAM PRIMARY CARE CENTRE,917.57
A89027,SPRINGWELL MEDICAL GROUP,RNNBE,PENRITH HOSPITAL,5980.3
A89024,THE BROADWAY MEDICAL PRACTICE,RNNBE,PENRITH HOSPITAL,5980.3
A89027,SPRINGWELL MEDICAL GROUP,RR7EN,QUEEN ELIZABETH HOSPITAL,1040.28
A89024,THE BROADWAY MEDICAL PRACTICE,RR7EN,QUEEN ELIZABETH HOSPITAL,1040.28
A89027,SPRINGWELL MEDICAL GROUP,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1551.44
A89024,THE BROADWAY MEDICAL PRACTICE,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1551.44
A89027,SPRINGWELL MEDICAL GROUP,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,1638.52
A89024,THE BROADWAY MEDICAL PRACTICE,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,1638.52
A89027,SPRINGWELL MEDICAL GROUP,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,930.83
A89024,THE BROADWAY MEDICAL PRACTICE,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,930.83
A89027,SPRINGWELL MEDICAL GROUP,R0B0X,SUNDERLAND EYE INFIRMARY,357.95
A89024,THE BROADWAY MEDICAL PRACTICE,R0B0X,SUNDERLAND EYE INFIRMARY,357.95
A89027,SPRINGWELL MEDICAL GROUP,RNNBD,KESWICK HOSPITAL,7038.08
A89024,THE BROADWAY MEDICAL PRACTICE,RNNBD,KESWICK HOSPITAL,7038.08
A89030,WESTBOURNE MEDICAL GROUP,RXPRD,SEAHAM PRIMARY CARE CENTRE,953.73
A89030,WESTBOURNE MEDICAL GROUP,RNNBE,PENRITH HOSPITAL,5594.44
A89030,WESTBOURNE MEDICAL GROUP,RR7EN,QUEEN ELIZABETH HOSPITAL,736.03
A89030,WESTBOURNE MEDICAL GROUP,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1413.88
A89030,WESTBOURNE MEDICAL GROUP,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,1674.69
A89030,WESTBOURNE MEDICAL GROUP,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,966.5
A89030,WESTBOURNE MEDICAL GROUP,R0B0X,SUNDERLAND EYE INFIRMARY,814.72
A89030,WESTBOURNE MEDICAL GROUP,RNNBD,KESWICK HOSPITAL,6652.22
A87016,THE VILLAGE GREEN SURGERY,RXPRD,SEAHAM PRIMARY CARE CENTRE,1631.75
A87016,THE VILLAGE GREEN SURGERY,RNNBE,PENRITH HOSPITAL,5533.15
A87016,THE VILLAGE GREEN SURGERY,RR7EN,QUEEN ELIZABETH HOSPITAL,1243.96
A87016,THE VILLAGE GREEN SURGERY,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,551.85
A87016,THE VILLAGE GREEN SURGERY,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,2352.71
A87016,THE VILLAGE GREEN SURGERY,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,982.76
A87016,THE VILLAGE GREEN SURGERY,R0B0X,SUNDERLAND EYE INFIRMARY,1532.08
A87016,THE VILLAGE GREEN SURGERY,RNNBD,KESWICK HOSPITAL,6590.94
A87019,NELSON MEDICAL GROUP,RXPRD,SEAHAM PRIMARY CARE CENTRE,1530.98
A87019,NELSON MEDICAL GROUP,RNNBE,PENRITH HOSPITAL,5800.89
A87019,NELSON MEDICAL GROUP,RR7EN,QUEEN ELIZABETH HOSPITAL,1198.65
A87019,NELSON MEDICAL GROUP,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,937.3
A87019,NELSON MEDICAL GROUP,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,2251.93
A87019,NELSON MEDICAL GROUP,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,881.98
A87019,NELSON MEDICAL GROUP,R0B0X,SUNDERLAND EYE INFIRMARY,1431.31
A87019,NELSON MEDICAL GROUP,RNNBD,KESWICK HOSPITAL,6858.67
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,RXPRD,SEAHAM PRIMARY CARE CENTRE,1915.08
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,RNNBE,PENRITH HOSPITAL,4732.29
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,RR7EN,QUEEN ELIZABETH HOSPITAL,1000.57
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,912.02
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,2636.03
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1708.97
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,R0B0X,SUNDERLAND EYE INFIRMARY,1815.41
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,RNNBD,KESWICK HOSPITAL,5790.07
A85617,SUNNISIDE SURGERY,RXPRD,SEAHAM PRIMARY CARE CENTRE,1637.53
A85617,SUNNISIDE SURGERY,RNNBE,PENRITH HOSPITAL,5176.8
A85617,SUNNISIDE SURGERY,RR7EN,QUEEN ELIZABETH HOSPITAL,683.1
A85617,SUNNISIDE SURGERY,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1201.15
A85617,SUNNISIDE SURGERY,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,2358.48
A85617,SUNNISIDE SURGERY,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1441.15
A85617,SUNNISIDE SURGERY,R0B0X,SUNDERLAND EYE INFIRMARY,1537.86
A85617,SUNNISIDE SURGERY,RNNBD,KESWICK HOSPITAL,6234.58
A84034,HALTWHISTLE MEDICAL GROUP,RXPRD,SEAHAM PRIMARY CARE CENTRE,4143.12
A84034,HALTWHISTLE MEDICAL GROUP,RNNBE,PENRITH HOSPITAL,2682.76
A84034,HALTWHISTLE MEDICAL GROUP,RR7EN,QUEEN ELIZABETH HOSPITAL,3215.16
A84034,HALTWHISTLE MEDICAL GROUP,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,2965.81
A84034,HALTWHISTLE MEDICAL GROUP,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,4864.08
A84034,HALTWHISTLE MEDICAL GROUP,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,3842.92
A84034,HALTWHISTLE MEDICAL GROUP,R0B0X,SUNDERLAND EYE INFIRMARY,4043.45
A84034,HALTWHISTLE MEDICAL GROUP,RNNBD,KESWICK HOSPITAL,3672.33
A84007,PONTELAND MEDICAL GROUP,RXPRD,SEAHAM PRIMARY CARE CENTRE,2475.28
A84011,WHITE MEDICAL GROUP,RXPRD,SEAHAM PRIMARY CARE CENTRE,2475.28
A84007,PONTELAND MEDICAL GROUP,RNNBE,PENRITH HOSPITAL,4832.48
A84011,WHITE MEDICAL GROUP,RNNBE,PENRITH HOSPITAL,4832.48
A84007,PONTELAND MEDICAL GROUP,RR7EN,QUEEN ELIZABETH HOSPITAL,1548.19
A84011,WHITE MEDICAL GROUP,RR7EN,QUEEN ELIZABETH HOSPITAL,1548.19
A84007,PONTELAND MEDICAL GROUP,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1218.78
A84011,WHITE MEDICAL GROUP,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1218.78
A84007,PONTELAND MEDICAL GROUP,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,3196.23
A84011,WHITE MEDICAL GROUP,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,3196.23
A84007,PONTELAND MEDICAL GROUP,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1826.28
A84011,WHITE MEDICAL GROUP,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1826.28
A84007,PONTELAND MEDICAL GROUP,R0B0X,SUNDERLAND EYE INFIRMARY,2375.61
A84011,WHITE MEDICAL GROUP,R0B0X,SUNDERLAND EYE INFIRMARY,2375.61
A84007,PONTELAND MEDICAL GROUP,RNNBD,KESWICK HOSPITAL,5890.27
A84011,WHITE MEDICAL GROUP,RNNBD,KESWICK HOSPITAL,5890.27
A89617,I J HEALTHCARE,RXPRD,SEAHAM PRIMARY CARE CENTRE,1046.55
A89617,I J HEALTHCARE,RNNBE,PENRITH HOSPITAL,5489.72
A89617,I J HEALTHCARE,RR7EN,QUEEN ELIZABETH HOSPITAL,631.31
A89617,I J HEALTHCARE,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1309.16
A89617,I J HEALTHCARE,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,1767.51
A89617,I J HEALTHCARE,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,878.62
A89617,I J HEALTHCARE,R0B0X,SUNDERLAND EYE INFIRMARY,946.53
A89617,I J HEALTHCARE,RNNBD,KESWICK HOSPITAL,6547.5
A89032,NEW SILKSWORTH MEDICAL PRACTICE,RXPRD,SEAHAM PRIMARY CARE CENTRE,796.0
A89011,VILLAGE SURGERY PARTNERSHIP,RXPRD,SEAHAM PRIMARY CARE CENTRE,796.0
A89032,NEW SILKSWORTH MEDICAL PRACTICE,RNNBE,PENRITH HOSPITAL,5858.73
A89011,VILLAGE SURGERY PARTNERSHIP,RNNBE,PENRITH HOSPITAL,5858.73
A89032,NEW SILKSWORTH MEDICAL PRACTICE,RR7EN,QUEEN ELIZABETH HOSPITAL,1112.35
A89011,VILLAGE SURGERY PARTNERSHIP,RR7EN,QUEEN ELIZABETH HOSPITAL,1112.35
A89032,NEW SILKSWORTH MEDICAL PRACTICE,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1623.52
A89011,VILLAGE SURGERY PARTNERSHIP,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1623.52
A89032,NEW SILKSWORTH MEDICAL PRACTICE,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,1516.96
A89011,VILLAGE SURGERY PARTNERSHIP,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,1516.96
A89032,NEW SILKSWORTH MEDICAL PRACTICE,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1002.91
A89011,VILLAGE SURGERY PARTNERSHIP,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,1002.91
A89032,NEW SILKSWORTH MEDICAL PRACTICE,R0B0X,SUNDERLAND EYE INFIRMARY,394.86
A89011,VILLAGE SURGERY PARTNERSHIP,R0B0X,SUNDERLAND EYE INFIRMARY,394.86
A89032,NEW SILKSWORTH MEDICAL PRACTICE,RNNBD,KESWICK HOSPITAL,6916.51
A89011,VILLAGE SURGERY PARTNERSHIP,RNNBD,KESWICK HOSPITAL,6916.51
A84614,THE ADDERLANE SURGERY,RXPRD,SEAHAM PRIMARY CARE CENTRE,2479.4
A84614,THE ADDERLANE SURGERY,RNNBE,PENRITH HOSPITAL,4497.88
A84614,THE ADDERLANE SURGERY,RR7EN,QUEEN ELIZABETH HOSPITAL,1564.89
A84614,THE ADDERLANE SURGERY,RTDEN,MOLINEUX URGENT TREATMENT CENTRE,1476.34
A84614,THE ADDERLANE SURGERY,RVWAA,UNIVERSITY HOSPITAL OF HARTLEPOOL,3200.35
A84614,THE ADDERLANE SURGERY,R0B0Q,SOUTH TYNESIDE DISTRICT HOSPITAL,2273.29
A84614,THE ADDERLANE SURGERY,R0B0X,SUNDERLAND EYE INFIRMARY,2379.73
A84614,THE ADDERLANE SURGERY,RNNBD,KESWICK HOSPITAL,5555.66
